,x,y
0,-0.7815400228355842,-1.2196448654543313
1,-1.1814093244639143,-1.2378989627022445
2,-1.1756831218573376,-0.784364377843119
3,-0.794321342544454,-0.8850009078398489
4,-1.327958928397645,-0.5637333982113848
5,-1.2332299645585625,-0.987762419383569
6,-0.773295212114796,-0.9725388530868075
7,-1.4867291174402117,-0.9147720332993685
8,-0.6441646776000713,-1.1907559392861629
9,-0.6393279166929404,-1.7553021790383885
10,-1.1317944206431356,-0.997394705667456
11,-1.3110145577389467,-0.9620060561845967
12,-0.7474850427418467,-0.586330546304352
13,-1.137995574992238,-1.3318574680104727
14,-1.2281098892690505,-0.8739564310512347
15,-1.7078262384829417,-1.0040434674850451
16,-0.9023984714450689,-1.7229208616995018
17,-1.0236815031784616,-0.8646616456361012
18,-1.1186551179543536,-1.2222053295086073
19,-0.82726635355247,-0.8769775693066566
20,-1.6980815402279932,-0.735910758048848
21,-1.403268645560406,-1.0795576366543214
22,-0.7819934915931535,-1.182412779985738
23,-0.8733643685022854,-1.4115700778805569
24,-0.8975120706806051,-0.9411428505279078
25,-1.3310102146959295,-0.6178765040075271
26,-0.6690175604333787,-1.5797968727026832
27,-1.0714192655476074,-0.9988762919605341
28,-1.1259505915893147,-0.48438014865220314
29,-0.6642417010279307,-1.8525616403268539
30,-1.1080330459832093,-1.1975980943808795
31,-1.897241135472846,-1.1586743194486877
32,-0.8388678795674835,-1.029815680056235
33,-0.8584074036511751,-0.7196175902499345
34,-1.0920994566850353,-0.6996376726506024
35,-0.9945862881028252,-1.042048730122509
36,-1.2688775107139991,-0.7608210181321557
37,-0.953135098077018,-0.9270416169002909
38,-0.6830945273524573,-0.7781347172283934
39,-1.5311838959733841,-0.9676535606020545
40,-0.7063743101849516,-1.3451705049077554
41,-0.7910705768309189,-1.1709516805527243
42,-0.5204898421984838,-0.8579583063192802
43,-0.524239652013405,-0.7854121096640521
44,-0.7966934480228518,-1.5013255344877698
45,-0.9376503737829781,-0.8573308389196845
46,-0.8161740321795605,-0.9197639805456909
47,-0.9327498811827878,-0.7911692698330604
48,-0.9711598874283872,-1.0050846024118907
49,-1.129572052611569,-0.933786402567355
50,-1.202372504137462,-1.187662309129384
51,-0.7531088804394305,-1.1736297235088533
52,-0.3866363401283722,-1.3501357691491291
53,-1.0003938462758852,-1.195724932936474
54,-1.4908884989721727,-0.9731397575171583
55,-1.1179671042728732,-0.24587727538258708
56,-0.8245489373217958,-0.6759241702464915
57,-0.6197600722241992,-0.6709551625313634
